,A. Basic Identifiers,,,,,,B. Building Information,,,,,,C. Subject's Personal Information,,,,,D. Subjective Thermal Comfort Information,,,,,,E. Indoor Physical Parameters,,,,,,,,,,,,,,,,,,F. Indoor Calculated Parameters,,,,,G.Outdoor Environment Parameters,,,,,,
20450,SJTU2nd1119,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.86 ,1.0 ,0.1 ,20.1 ,69 ,0.01 ,20.6 ,0.6 ,20.1 ,69 ,0.01 ,20.6 ,1.1 ,20.1 ,69 ,0.01 ,20.6 ,NA,NA,NA,20.4 ,20.8 ,NA,-0.23,6.08,22.1 ,NA,NA,NA,NA,NA,NA,
20451,SJTU2nd1120,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,1.02 ,1.0 ,0.1 ,22.1 ,61 ,0.01 ,22.3 ,0.6 ,22.1 ,61 ,0.01 ,22.3 ,1.1 ,22.1 ,61 ,0.01 ,22.3 ,NA,NA,NA,22.2 ,22.4 ,NA,-0.16,5.51,22.1 ,NA,NA,NA,NA,NA,NA,
20452,SJTU2nd1121,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,1.0,1.17 ,1.0 ,0.1 ,21.9 ,62 ,0.03 ,22.4 ,0.6 ,21.9 ,62 ,0.03 ,22.4 ,1.1 ,21.9 ,62 ,0.03 ,22.4 ,NA,NA,NA,22.2 ,22.6 ,NA,-0.08,5.13,22.1 ,NA,NA,NA,NA,NA,NA,
20453,SJTU2nd1122,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-0.1,3.1,0.1,0.50 ,1.0 ,0.1 ,21.9 ,62 ,0.03 ,22.4 ,0.6 ,21.9 ,62 ,0.03 ,22.4 ,1.1 ,21.9 ,62 ,0.03 ,22.4 ,NA,NA,NA,22.2 ,22.6 ,NA,0.35,7.64,22.1 ,NA,NA,NA,NA,NA,NA,
20454,SJTU2nd1123,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,0.90 ,1.1 ,0.1 ,21.9 ,62 ,0.03 ,22.4 ,0.6 ,21.9 ,62 ,0.03 ,22.4 ,1.1 ,21.9 ,62 ,0.03 ,22.4 ,NA,NA,NA,22.2 ,22.6 ,NA,0.30,6.83,22.1 ,NA,NA,NA,NA,NA,NA,
20455,SJTU2nd1124,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.69 ,1.1 ,0.1 ,21.5 ,56 ,0.02 ,22.5 ,0.6 ,21.5 ,56 ,0.02 ,22.5 ,1.1 ,21.5 ,56 ,0.02 ,22.5 ,NA,NA,NA,22.2 ,22.9 ,NA,0.07,5.10,22.6 ,NA,NA,NA,NA,NA,NA,
20456,SJTU2nd1125,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-2.0,4.0,-1.0,0.56 ,1.1 ,0.1 ,21.9 ,55 ,0.00 ,22.5 ,0.6 ,21.9 ,55 ,0.00 ,22.5 ,1.1 ,21.9 ,55 ,0.00 ,22.5 ,NA,NA,NA,22.3 ,22.7 ,NA,-0.32,7.15,22.6 ,NA,NA,NA,NA,NA,NA,
20457,SJTU2nd1126,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,0.67 ,1.1 ,0.1 ,21.7 ,55 ,0.00 ,22.6 ,0.6 ,21.7 ,55 ,0.00 ,22.6 ,1.1 ,21.7 ,55 ,0.00 ,22.6 ,NA,NA,NA,22.3 ,23.0 ,NA,0.68,14.84,22.6 ,NA,NA,NA,NA,NA,NA,
20458,SJTU2nd1127,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,1.0,0.86 ,1.1 ,0.1 ,21.8 ,55 ,0.01 ,22.5 ,0.6 ,21.8 ,55 ,0.01 ,22.5 ,1.1 ,21.8 ,55 ,0.01 ,22.5 ,NA,NA,NA,22.3 ,22.8 ,NA,0.43,8.96,22.6 ,NA,NA,NA,NA,NA,NA,
20459,SJTU2nd1128,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,1.0,1.12 ,1.0 ,0.1 ,22.8 ,51 ,0.02 ,23.2 ,0.6 ,22.8 ,51 ,0.02 ,23.2 ,1.1 ,22.8 ,51 ,0.02 ,23.2 ,NA,NA,NA,23.1 ,23.3 ,NA,0.08,5.12,22.6 ,NA,NA,NA,NA,NA,NA,
20460,SJTU2nd1129,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.5,1.0,0.74 ,1.0 ,0.1 ,22.8 ,51 ,0.02 ,23.2 ,0.6 ,22.8 ,51 ,0.02 ,23.2 ,1.1 ,22.8 ,51 ,0.02 ,23.2 ,NA,NA,NA,23.1 ,23.3 ,NA,0.79,18.27,22.6 ,NA,NA,NA,NA,NA,NA,
20461,SJTU2nd1130,2010-04-27 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.5,1.0,0.80 ,1.1 ,0.1 ,22.9 ,51 ,0.01 ,23.3 ,0.6 ,22.9 ,51 ,0.01 ,23.3 ,1.1 ,22.9 ,51 ,0.01 ,23.3 ,NA,NA,NA,23.2 ,23.4 ,NA,0.26,6.42,22.6 ,NA,NA,NA,NA,NA,NA,
20462,SJTU2nd1131,2010-04-28 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.93 ,1.0 ,0.1 ,25.1 ,59 ,0.01 ,25.2 ,0.6 ,25.1 ,59 ,0.01 ,25.2 ,1.1 ,25.1 ,59 ,0.01 ,25.2 ,NA,NA,NA,25.2 ,25.2 ,NA,-0.13,5.33,25.7 ,NA,NA,NA,NA,NA,NA,
20463,SJTU2nd1132,2010-04-28 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.67 ,1.1 ,0.1 ,25.2 ,59 ,0.00 ,25.3 ,0.6 ,25.2 ,59 ,0.00 ,25.3 ,1.1 ,25.2 ,59 ,0.00 ,25.3 ,NA,NA,NA,25.3 ,25.3 ,NA,-0.08,5.13,25.7 ,NA,NA,NA,NA,NA,NA,
20464,SJTU2nd1133,2010-04-28 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,0.66 ,1.0 ,0.1 ,24.9 ,60 ,0.02 ,25.0 ,0.6 ,24.9 ,60 ,0.02 ,25.0 ,1.1 ,24.9 ,60 ,0.02 ,25.0 ,NA,NA,NA,25.0 ,25.0 ,NA,-0.11,5.23,25.7 ,NA,NA,NA,NA,NA,NA,
20465,SJTU2nd1134,2010-04-28 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,3.0,1.0,0.99 ,1.1 ,0.1 ,25.1 ,59 ,0.04 ,25.4 ,0.6 ,25.1 ,59 ,0.04 ,25.4 ,1.1 ,25.1 ,59 ,0.04 ,25.4 ,NA,NA,NA,25.3 ,25.5 ,NA,0.72,15.99,25.7 ,NA,NA,NA,NA,NA,NA,
20466,SJTU2nd1135,2010-04-28 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.2,1.0,1.05 ,1.0 ,0.1 ,25.9 ,53 ,0.02 ,25.9 ,0.6 ,25.9 ,53 ,0.02 ,25.9 ,1.1 ,25.9 ,53 ,0.02 ,25.9 ,NA,NA,NA,25.9 ,25.9 ,NA,0.55,11.48,25.7 ,NA,NA,NA,NA,NA,NA,
20467,SJTU2nd1136,2010-04-28 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,1.0,0.94 ,1.0 ,0.1 ,25.6 ,55 ,0.05 ,25.9 ,0.6 ,25.6 ,55 ,0.05 ,25.9 ,1.1 ,25.6 ,55 ,0.05 ,25.9 ,NA,NA,NA,25.8 ,26.0 ,NA,0.54,11.19,25.7 ,NA,NA,NA,NA,NA,NA,
20468,SJTU2nd1137,2010-04-28 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.2,2.4,1.0,0.91 ,1.0 ,0.1 ,25.6 ,55 ,0.05 ,25.9 ,0.6 ,25.6 ,55 ,0.05 ,25.9 ,1.1 ,25.6 ,55 ,0.05 ,25.9 ,NA,NA,NA,25.8 ,26.0 ,NA,1.15,32.85,25.7 ,NA,NA,NA,NA,NA,NA,
20469,SJTU2nd1138,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.58 ,1.0 ,0.1 ,24.1 ,44 ,0.01 ,24.3 ,0.6 ,24.1 ,44 ,0.01 ,24.3 ,1.1 ,24.1 ,44 ,0.01 ,24.3 ,NA,NA,NA,24.2 ,24.4 ,NA,-0.60,12.73,24.4 ,NA,NA,NA,NA,NA,NA,
20470,SJTU2nd1139,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.97 ,1.1 ,0.1 ,24.0 ,44 ,0.02 ,24.1 ,0.6 ,24.0 ,44 ,0.02 ,24.1 ,1.1 ,24.0 ,44 ,0.02 ,24.1 ,NA,NA,NA,24.1 ,24.1 ,NA,0.11,5.25,24.4 ,NA,NA,NA,NA,NA,NA,
20471,SJTU2nd1140,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,0.95 ,1.0 ,0.1 ,24.0 ,44 ,0.00 ,24.2 ,0.6 ,24.0 ,44 ,0.00 ,24.2 ,1.1 ,24.0 ,44 ,0.00 ,24.2 ,NA,NA,NA,24.1 ,24.3 ,NA,0.15,5.46,24.4 ,NA,NA,NA,NA,NA,NA,
20472,SJTU2nd1141,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.4,1.0,0.96 ,1.0 ,0.1 ,23.7 ,44 ,0.02 ,23.8 ,0.6 ,23.7 ,44 ,0.02 ,23.8 ,1.1 ,23.7 ,44 ,0.02 ,23.8 ,NA,NA,NA,23.8 ,23.8 ,NA,-0.05,5.06,24.4 ,NA,NA,NA,NA,NA,NA,
20473,SJTU2nd1142,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,1.0,0.55 ,1.1 ,0.1 ,23.7 ,43 ,0.04 ,23.8 ,0.6 ,23.7 ,43 ,0.04 ,23.8 ,1.1 ,23.7 ,43 ,0.04 ,23.8 ,NA,NA,NA,23.8 ,23.8 ,NA,0.20,5.87,24.4 ,NA,NA,NA,NA,NA,NA,
20474,SJTU2nd1143,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.81 ,1.0 ,0.1 ,23.2 ,46 ,0.04 ,23.8 ,0.6 ,23.2 ,46 ,0.04 ,23.8 ,1.1 ,23.2 ,46 ,0.04 ,23.8 ,NA,NA,NA,23.6 ,24.0 ,NA,0.33,7.26,24.4 ,NA,NA,NA,NA,NA,NA,
20475,SJTU2nd1144,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-0.1,2.7,1.0,1.26 ,1.1 ,0.1 ,23.4 ,45 ,0.02 ,23.7 ,0.6 ,23.4 ,45 ,0.02 ,23.7 ,1.1 ,23.4 ,45 ,0.02 ,23.7 ,NA,NA,NA,23.6 ,23.8 ,NA,-0.52,10.69,24.4 ,NA,NA,NA,NA,NA,NA,
20476,SJTU2nd1145,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,1.0,1.28 ,1.0 ,0.1 ,24.0 ,43 ,0.02 ,24.4 ,0.6 ,24.0 ,43 ,0.02 ,24.4 ,1.1 ,24.0 ,43 ,0.02 ,24.4 ,NA,NA,NA,24.3 ,24.5 ,NA,-0.04,5.03,24.4 ,NA,NA,NA,NA,NA,NA,
20477,SJTU2nd1146,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-0.1,2.8,1.0,1.12 ,1.0 ,0.1 ,24.0 ,43 ,0.02 ,24.4 ,0.6 ,24.0 ,43 ,0.02 ,24.4 ,1.1 ,24.0 ,43 ,0.02 ,24.4 ,NA,NA,NA,24.3 ,24.5 ,NA,0.68,14.83,24.4 ,NA,NA,NA,NA,NA,NA,
20478,SJTU2nd1147,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,1.0,0.77 ,1.1 ,0.1 ,24.8 ,56 ,0.03 ,25.3 ,0.6 ,24.8 ,56 ,0.03 ,25.3 ,1.1 ,24.8 ,56 ,0.03 ,25.3 ,NA,NA,NA,25.1 ,25.5 ,NA,0.07,5.11,25.6 ,NA,NA,NA,NA,NA,NA,
20479,SJTU2nd1148,2010-04-29 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,0.82 ,1.0 ,0.1 ,25.8 ,56 ,0.04 ,26.0 ,0.6 ,25.8 ,56 ,0.04 ,26.0 ,1.1 ,25.8 ,56 ,0.04 ,26.0 ,NA,NA,NA,25.9 ,26.1 ,NA,0.60,12.49,25.6 ,NA,NA,NA,NA,NA,NA,
20480,SJTU2nd1149,2010-04-30 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,1.0,0.61 ,1.1 ,0.1 ,27.8 ,47 ,0.01 ,27.9 ,0.6 ,27.8 ,47 ,0.01 ,27.9 ,1.1 ,27.8 ,47 ,0.01 ,27.9 ,NA,NA,NA,27.9 ,27.9 ,NA,0.92,23.12,30.2 ,NA,NA,NA,NA,NA,NA,
20481,SJTU2nd1150,2010-04-30 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,0.88 ,1.0 ,0.1 ,27.5 ,49 ,0.01 ,27.7 ,0.6 ,27.5 ,49 ,0.01 ,27.7 ,1.1 ,27.5 ,49 ,0.01 ,27.7 ,NA,NA,NA,27.6 ,27.8 ,NA,1.03,27.58,30.2 ,NA,NA,NA,NA,NA,NA,
20482,SJTU2nd1151,2010-04-30 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.5,2.4,0.1,0.82 ,1.1 ,0.1 ,27.5 ,49 ,0.01 ,27.7 ,0.6 ,27.5 ,49 ,0.01 ,27.7 ,1.1 ,27.5 ,49 ,0.01 ,27.7 ,NA,NA,NA,27.6 ,27.8 ,NA,0.85,20.52,30.2 ,NA,NA,NA,NA,NA,NA,
20483,SJTU2nd1152,2010-04-30 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.7,0.1,0.73 ,1.0 ,0.1 ,28.8 ,43 ,0.02 ,28.9 ,0.6 ,28.8 ,43 ,0.02 ,28.9 ,1.1 ,28.8 ,43 ,0.02 ,28.9 ,NA,NA,NA,28.9 ,28.9 ,NA,0.97,25.06,30.2 ,NA,NA,NA,NA,NA,NA,
20484,SJTU2nd1153,2010-04-30 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,2.0,2.9,0.1,0.63 ,1.1 ,0.1 ,28.9 ,43 ,0.04 ,29.1 ,0.6 ,28.9 ,43 ,0.04 ,29.1 ,1.1 ,28.9 ,43 ,0.04 ,29.1 ,NA,NA,NA,29.0 ,29.2 ,NA,1.80,67.26,30.2 ,NA,NA,NA,NA,NA,NA,
20485,SJTU2nd1154,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.77 ,1.0 ,0.1 ,25.2 ,73 ,0.02 ,26.3 ,0.6 ,25.2 ,73 ,0.02 ,26.3 ,1.1 ,25.2 ,73 ,0.02 ,26.3 ,NA,NA,NA,26.0 ,26.7 ,NA,0.26,6.45,20.0 ,NA,NA,NA,NA,NA,NA,
20486,SJTU2nd1155,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,1.0,0.55 ,1.0 ,0.1 ,25.3 ,72 ,0.01 ,26.3 ,0.6 ,25.3 ,72 ,0.01 ,26.3 ,1.1 ,25.3 ,72 ,0.01 ,26.3 ,NA,NA,NA,26.0 ,26.7 ,NA,0.68,14.77,20.0 ,NA,NA,NA,NA,NA,NA,
20487,SJTU2nd1156,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.3,1.0,0.81 ,1.0 ,0.1 ,25.4 ,71 ,0.00 ,26.3 ,0.6 ,25.4 ,71 ,0.00 ,26.3 ,1.1 ,25.4 ,71 ,0.00 ,26.3 ,NA,NA,NA,26.0 ,26.6 ,NA,0.06,5.07,20.0 ,NA,NA,NA,NA,NA,NA,
20488,SJTU2nd1157,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,-1.0,3.0,1.0,0.69 ,1.1 ,0.1 ,25.6 ,70 ,0.01 ,26.3 ,0.6 ,25.6 ,70 ,0.01 ,26.3 ,1.1 ,25.6 ,70 ,0.01 ,26.3 ,NA,NA,NA,26.1 ,26.6 ,NA,0.27,6.49,20.0 ,NA,NA,NA,NA,NA,NA,
20489,SJTU2nd1158,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.75 ,1.0 ,0.1 ,25.3 ,72 ,0.01 ,26.3 ,0.6 ,25.3 ,72 ,0.01 ,26.3 ,1.1 ,25.3 ,72 ,0.01 ,26.3 ,NA,NA,NA,26.0 ,26.7 ,NA,0.37,7.88,20.0 ,NA,NA,NA,NA,NA,NA,
20490,SJTU2nd1159,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,1.42 ,1.0 ,0.1 ,27.8 ,64 ,0.00 ,28.4 ,0.6 ,27.8 ,64 ,0.00 ,28.4 ,1.1 ,27.8 ,64 ,0.00 ,28.4 ,NA,NA,NA,28.2 ,28.6 ,NA,0.70,15.49,20.0 ,NA,NA,NA,NA,NA,NA,
20491,SJTU2nd1160,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,3.0,1.0,1.03 ,1.0 ,0.1 ,28.5 ,62 ,0.03 ,28.7 ,0.6 ,28.5 ,62 ,0.03 ,28.7 ,1.1 ,28.5 ,62 ,0.03 ,28.7 ,NA,NA,NA,28.6 ,28.8 ,NA,1.16,33.33,20.0 ,NA,NA,NA,NA,NA,NA,
20492,SJTU2nd1161,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.2,0.1,1.14 ,1.0 ,0.1 ,28.5 ,62 ,0.03 ,28.7 ,0.6 ,28.5 ,62 ,0.03 ,28.7 ,1.1 ,28.5 ,62 ,0.03 ,28.7 ,NA,NA,NA,28.6 ,28.8 ,NA,1.21,36.03,20.0 ,NA,NA,NA,NA,NA,NA,
20493,SJTU2nd1162,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,1.2,1.0,0.75 ,1.1 ,0.1 ,27.0 ,60 ,0.02 ,27.4 ,0.6 ,27.0 ,60 ,0.02 ,27.4 ,1.1 ,27.0 ,60 ,0.02 ,27.4 ,NA,NA,NA,27.3 ,27.5 ,NA,0.68,14.66,25.3 ,NA,NA,NA,NA,NA,NA,
20494,SJTU2nd1163,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,3.0,1.0,1.36 ,1.1 ,0.1 ,27.0 ,60 ,0.01 ,27.4 ,0.6 ,27.0 ,60 ,0.01 ,27.4 ,1.1 ,27.0 ,60 ,0.01 ,27.4 ,NA,NA,NA,27.3 ,27.5 ,NA,0.64,13.72,25.3 ,NA,NA,NA,NA,NA,NA,
20495,SJTU2nd1164,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,1.0,1.06 ,1.1 ,0.1 ,27.0 ,61 ,0.02 ,27.4 ,0.6 ,27.0 ,61 ,0.02 ,27.4 ,1.1 ,27.0 ,61 ,0.02 ,27.4 ,NA,NA,NA,27.3 ,27.5 ,NA,0.92,23.00,25.3 ,NA,NA,NA,NA,NA,NA,
20496,SJTU2nd1165,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,0.1,0.50 ,1.0 ,0.1 ,27.0 ,61 ,0.01 ,27.4 ,0.6 ,27.0 ,61 ,0.01 ,27.4 ,1.1 ,27.0 ,61 ,0.01 ,27.4 ,NA,NA,NA,27.3 ,27.5 ,NA,0.76,17.34,25.3 ,NA,NA,NA,NA,NA,NA,
20497,SJTU2nd1166,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,0.0,2.0,0.1,0.68 ,1.0 ,0.1 ,28.2 ,57 ,0.02 ,28.5 ,0.6 ,28.2 ,57 ,0.02 ,28.5 ,1.1 ,28.2 ,57 ,0.02 ,28.5 ,NA,NA,NA,28.4 ,28.6 ,NA,0.72,15.96,25.3 ,NA,NA,NA,NA,NA,NA,
20498,SJTU2nd1167,2010-05-04 08:00:00,Shanghai Jiao Tong University ,Transition Season,"Hunan Province, Changsha City",Hot summer and cold winter zone ,Office,Office,NA,Naturally Ventilated,NA,NA,NA,NA,NA,NA,NA,1.0,3.0,1.0,0.71 ,1.0 ,0.1 ,28.1 ,57 ,0.01 ,28.5 ,0.6 ,28.1 ,57 ,0.01 ,28.5 ,1.1 ,28.1 ,57 ,0.01 ,28.5 ,NA,NA,NA,28.4 ,28.6 ,NA,1.00,26.17,25.3 ,NA,NA,NA,NA,NA,NA,
